address;balance_btc_prev;n_tr_prev;time_prev;ts_prev;exchange_rate_prev;cum_profit_prev;cohort_prev;last_block;label;balance_btc;balance_usd;first_tr;last_tr;tr_btc;n_tr;time;ts;exchange_rate;tr_profit;cum_profit;cohort;abs_delta
3GcSHxkKY8ADMWRam51T1WYxYSb2vH62VL;1035.04923353;16;2024-02-16 07:00:00 UTC;1708063200;51909.78;21269377.51252707;c;830685;;775.05;46671391.0;2023-11-23 06:31:52 UTC;2024-03-20 03:23:39 UTC;0.0;14;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;259.9992335300001
bc1q7z9es4yn475d3qq0dzfsvl585g0u3h6q3d5uqj;0.95812781;99;2024-01-26 23:00:00 UTC;1706306400;41901.89;967955.22326288;0;827534;;260.27;15672524.0;2022-12-05 14:38:07 UTC;2024-04-18 15:03:38 UTC;0.0;320;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;259.31187219
bc1q4jrnjwrerm9vkx6sh607z8u9whnv9vummduasq;467.45878311;42;2024-02-20 17:00:00 UTC;1708444800;51248.97;3666601.43765444;b;831275;102875936;210.39;12669335.0;2023-11-28 11:14:59 UTC;2024-04-16 20:39:30 UTC;0.0;103;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;257.06878311
145fpEV9Yc8zeCmJjtgxxj2ycS5JU6BzZp;449.6179309;399;2023-10-03 03:00:00 UTC;1696298400;27585.3;26529264.29219646;b;810394;;192.98;11620788.0;2011-07-10 09:13:13 UTC;2024-04-13 13:22:25 UTC;0.0;376;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;256.6379309
1Nu5uBhQ2h91uGig2udAGTJUkBGwFX2W61;507.35161959;101;2024-02-13 10:00:00 UTC;1707814800;50070.16;8404721.07261057;b;830269;;251.32;15134052.0;2019-10-02 13:19:15 UTC;2024-04-16 18:52:42 UTC;0.0;109;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;256.03161959
bc1qfnfugxa6m2y5k3h8w2de0w7fcfkqs5u02v3rgz;223.87194737;5;2023-12-14 10:00:00 UTC;1702544400;42798.87;243445.97698277;b;821136;;479.65;28883024.0;2023-12-04 09:15:14 UTC;2024-03-15 11:16:31 UTC;0.0;1;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;255.77805263
bc1qrmwj68e09thgnmzzc0rvqlf7y67zvvnw8zgy5u;349.68912804;10;2023-08-18 01:00:00 UTC;1692316800;26648.92;542894.64301639;b;803691;;603.65;36349999.0;2022-11-11 13:21:22 UTC;2024-03-27 04:23:06 UTC;0.0;19;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;253.96087195999996
1FishZMR2YSmussTBMCPirja83C3d3CCTX;2445.0341319;96;2024-02-16 13:00:00 UTC;1708084800;52310.15;185905506.76593107;c;830713;;2195.0;132179101.0;2016-01-23 12:56:44 UTC;2024-03-11 14:54:43 UTC;0.0;73;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;250.03413189999992
bc1qyqt9zs42qmyf373k7yvy0t3askxd927v304xlv;500.0;4;2024-02-09 16:00:00 UTC;1707490800;47258.94;192.3479946;b;829688;;750.0;45162996.0;2024-02-08 15:41:11 UTC;2024-03-23 04:10:01 UTC;0.0;3;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;250.0
bc1qzkqmyv57jpuntyc9ydjyrq4hlneevrmr0xe9kz;8528.09927289;28;2024-01-30 00:00:00 UTC;1706569200;43233.43;178429263.3508269;c;828029;;8281.0;498665730.0;2023-02-08 18:15:16 UTC;2024-03-18 00:34:20 UTC;0.0;32;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;247.09927289000007
1CLxmHRhoi9VpSj5QihqPEdbhLL8E1oeUZ;1701.08136378;46;2023-10-17 04:00:00 UTC;1697511600;28216.07;49500183.96076541;c;812556;3793320;1455.0;87621726.0;2013-01-10 11:17:28 UTC;2024-04-06 10:18:56 UTC;0.0;15;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;246.08136377999995
bc1qukuxeth2kfk72kzjuv6ls8z59zpy6asqvgt3ue;8430.0354518;128;2024-02-20 12:00:00 UTC;1708426800;52268.96;193252250.617539;c;831256;;8185.0;492852568.0;2022-10-11 14:13:38 UTC;2024-03-29 14:35:11 UTC;0.0;158;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;245.03545180000037
bc1qu6f3n4twfq06vvq986dwmkp73l6j02vrae6k3f;190.9981589;2;2024-02-13 17:00:00 UTC;1707840000;48738.7;540591.56140026;b;830302;;434.21;26147013.0;2024-01-16 15:45:46 UTC;2024-04-04 17:16:57 UTC;0.0;5;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;243.2118411
16MrRM5s4kGUBgK9CJbJGiH5dLQMMs84kU;247.7407331;2024;2024-02-21 04:00:00 UTC;1708484400;51967.8;4555898.72803353;b;831348;32040589;490.37;29528479.0;2017-07-12 12:33:57 UTC;2024-04-18 18:13:10 UTC;0.0;2482;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;242.6292669
bc1ql226frnr2rf2hxq6llnvy5y55qf3jkau6j9s3d;854.54509796;11;2023-12-22 03:00:00 UTC;1703210400;43983.37;7835352.19318227;b;822326;;1095.0;65910590.0;2023-08-11 17:08:53 UTC;2024-03-18 22:50:00 UTC;0.0;3;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;240.45490203999998
1LFFTXmEBkg92qLbHzk2EiPfjMUJGZi2RM;539.4171873;25;2021-09-09 13:00:00 UTC;1631188800;46930.17;23089943.31987813;b;699772;;300.0;18065201.0;2017-08-21 11:28:15 UTC;2024-03-18 22:26:04 UTC;0.0;22;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;239.41718730000002
3NReGDaD82ymzgRjjDCEHGGvhdKTSs7tg7;3887.81882991;882;2024-02-20 18:00:00 UTC;1708448400;51294.22;112075168.28066517;c;831282;;4125.0;248367254.0;2019-09-27 11:23:47 UTC;2024-04-17 19:39:05 UTC;0.0;840;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;237.1811700899998
17vW5tZWUVQ25J8CiYy319jijx8y1aeqfr;4593.15750493;22;2024-01-12 22:00:00 UTC;1705093200;42746.85;103302646.1240009;c;825527;97618814;4829.0;290774830.0;2022-09-06 12:02:49 UTC;2024-04-18 05:37:35 UTC;0.0;5;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;235.84249507000004
374j7UBigHP7mB3JyA5p235wyWVoabbqdz;2069.79192757;29;2024-02-20 11:00:00 UTC;1708423200;51906.34;24156293.44561754;c;831244;;2301.0;138563572.0;2023-11-20 08:05:54 UTC;2024-04-14 10:06:16 UTC;0.0;11;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;231.2080724299999
335tkyvVAkK5vJ1qSXbBMhcYuVKXzXvQpw;715.00011989;11;2023-10-26 21:00:00 UTC;1698350400;34148.38;62327747.60973198;b;813971;;485.01;29206049.0;2020-08-26 17:32:47 UTC;2024-04-18 04:10:53 UTC;0.0;2;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;b;229.99011988999996
bc1qtgp0fmwwej9dmt4gaegsnuv7lu5jkhehyvhwxl;2735.0841085;12;2023-10-26 21:00:00 UTC;1698350400;34099.73;23639497.16166912;c;813966;;2506.0;150876824.0;2022-03-03 16:36:21 UTC;2024-02-27 21:56:20 UTC;0.0;5;2024-04-19 02:51:49 UTC;1713495600;60601.99;0.0;0.0;c;229.08410850000018
