address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
bc1qpjnm2ce04j0ntwfuxte83tv05cgsuuvz096sv8;;0.0;240.49;14481695.0;2024-04-18 22:12:23 UTC;2024-04-18 22:12:23 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpjuesk4qczzeucm6c7nzgu4gmdtednr6p8fmyr;;0.0;186.61;11237206.0;2024-03-24 13:35:38 UTC;2024-03-24 13:49:08 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qplvsqhnw9seyr95tgm6lhrnez4m5nfg424ykq5;;0.0;255.0;15355421.0;2024-03-15 13:10:34 UTC;2024-04-16 17:28:25 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpm59vhgtq4v976vnxs9d69yrv3vwgvjantqf4g;;0.0;600.0;36130402.0;2024-03-12 17:05:36 UTC;2024-03-12 17:05:36 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpmhpvxn37lhfwrzllm67pm9dkqnxeddujlhpdq;;0.0;500.0;30108668.0;2024-03-11 15:14:53 UTC;2024-03-11 15:19:59 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpnun566y4fz7dey0rju9h4wf3sadxwan8s29u7;;0.0;600.0;36130402.0;2024-03-28 17:43:48 UTC;2024-03-28 17:43:48 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpplhshalk8jg0l692xycchnrhglm9gaz82dhfa;;0.0;600.0;36130402.0;2024-03-22 16:43:59 UTC;2024-03-22 16:43:59 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpqz46ppj96kcj62szr6mh733rxskc5vx4a2cck;;0.0;500.0;30108668.0;2024-02-28 18:39:20 UTC;2024-02-28 19:06:39 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpswfdh69kdezaxq9e0fpp9kvqhs5vytxfkh72y;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:23:18 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpsxqgsk9f93x9ecvrfjwv5k4ckz0daesmquxu7;;0.0;256.82;15464860.0;2024-04-12 02:32:56 UTC;2024-04-12 02:32:56 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpsyy8l63a920kfgptgdq4rvesgkl4r665mvqwc;;0.0;1004.0;60435478.0;2024-04-03 15:08:37 UTC;2024-04-03 15:08:37 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
bc1qpt4z00k5ct6ynmmqd02z28w55sn0f4qsa8l5p3;;0.0;600.0;36130402.0;2024-02-28 18:39:20 UTC;2024-02-28 18:39:20 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpu4j3n4uaz2xuae5e826pftm4528tsfgnp66vc;;0.0;242.68;14613820.0;2024-03-16 17:35:22 UTC;2024-04-02 09:26:07 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpum6pw7pnsyhqww6x930u0a6xsat7hqg5eauas6q30vnmdkqkxrqu5jdwe;;0.0;7120.0;428747412.0;2024-03-11 19:12:34 UTC;2024-04-17 15:39:33 UTC;20;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;c;-1;False
bc1qpuxdyprtlcyvuzvyvpxyqkwvnjzylr0xu8vgdp;;0.0;350.0;21076048.0;2024-02-28 16:50:16 UTC;2024-02-28 16:50:16 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpv9rvz0lu785xn9l5p8n9uh22ffa66wq7glx7u;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:23:18 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpvhz2lkddkzjrzzv0cq68p5glrt88tgp0pqyls;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:39:14 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpvjnrkx2t0xh7yxsqehvhekr0z8nylfj2xse89;;0.0;603.0;36311054.0;2024-03-01 20:21:15 UTC;2024-03-01 20:21:15 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpwpj3y002xz786cwej5u0dqdd0lkhzy06szsu2;;0.0;600.0;36130402.0;2024-03-28 17:50:47 UTC;2024-03-28 17:50:47 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpxxrzmlpylsaph2y9ycwd8z38rhsv200ryw5p6;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:39:14 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpy2dsef4wcy2dw5rf7awatyhmf6mnhfnfz6k6x;;0.0;836.93;50397787.0;2024-04-18 10:30:30 UTC;2024-04-18 10:55:33 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpy7fr9h80k3rdd55mhgkcr0ty53u4ef2vre62f;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:39:14 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpyzhywgaf7z53hdnxhk82aleq0epvsd6e625r6;;0.0;600.0;36130402.0;2024-03-19 16:25:00 UTC;2024-03-19 16:25:00 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpze4y96l2yvgcrfakc89es27046ku0muj4vmsm;;0.0;600.0;36130402.0;2024-02-28 19:23:18 UTC;2024-02-28 19:23:18 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpze5qee7fsn055nxktzqpynwx5jxzz2ahr70yud3p3mzpwg3a00qcky9az;;0.0;418.7;25212705.0;2024-04-12 22:42:23 UTC;2024-04-12 22:42:23 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qpznxzn4e5kuasep3q3ln294w77nv3ghtdqvqed;;0.0;230.1;13856009.0;2024-03-02 00:49:35 UTC;2024-03-02 01:13:05 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qq266gqdf3fgs3w9gn7hkxfr3x4xsmgxgmnhjyk;;0.0;500.0;30108668.0;2024-03-11 15:06:59 UTC;2024-03-11 15:16:51 UTC;2;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qq2jptc8ln2j5ku3twywhhxgsv0njxsznf3rqxq;;0.0;410.04;24691396.0;2024-04-17 17:44:28 UTC;2024-04-17 17:44:28 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qq3y5h9jpc34zn3ve4msfclat2nr6e9rzc2sdcz;;0.0;600.0;36130402.0;2024-03-12 15:52:04 UTC;2024-03-12 15:52:04 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
bc1qq4x5f5g4r88gmfymln9us45hd4wm0f2jqjcw6y;;0.0;600.0;36130402.0;2024-02-28 19:55:15 UTC;2024-02-28 19:55:15 UTC;1;2024-04-19 02:51:49 UTC;1713495600;;60601.99;0.0;0.0;b;-1;False
