address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
16EcKKcY3GcyHKQ5Gb8iKwaTfr93FDWo4G;;299.0;300.0;4989270.0;2022-12-29 16:17:37 UTC;2022-12-29 16:17:37 UTC;2;2022-12-29 17:00:00 UTC;1672329600;;16630.9;1.92;1.92;b;769431;False
16EzZdzQaUmhHMMKRzUwMBYGFk7YD6MxPL;;80.0;280.0;15620528.0;2021-04-21 00:47:31 UTC;2021-04-21 00:47:31 UTC;2;2021-04-21 01:00:00 UTC;1618963200;;55787.6;9544156.0;9544156.0;b;679967;False
16H7n8gce32XxtygCr3kSuu1HQGdkod5oj;;263.44967573;300.0;6828726.0;2022-06-14 07:32:09 UTC;2022-06-14 07:32:09 UTC;2;2022-06-14 08:00:00 UTC;1655190000;;22762.42;-243234.00144227;-243234.00144227;b;740733;False
16KqyhfEjTJGVLUoNe7jfCSoShbofQQ8SJ;;144.45040136;300.0;18172368.0;2021-11-17 11:09:23 UTC;2021-11-17 11:09:23 UTC;2;2021-11-17 12:00:00 UTC;1637146800;;60574.56;114766.04937258;114766.04937258;b;710125;False
16LDby5cWxzQqTFJrA1DDmbwABumCQHteG;;500.0;1000.0;47295630.0;2024-02-10 14:20:16 UTC;2024-02-10 14:20:16 UTC;4;2024-02-10 15:00:00 UTC;1707573600;;47295.63;116625.0;116625.0;c;829841;False
16Mvi6t7TSBWrB8asLSoqKykkyvn2R9iaS;;129.34608468;300.0;17363859.0;2021-11-30 18:36:10 UTC;2021-11-30 18:36:10 UTC;2;2021-11-30 19:00:00 UTC;1638295200;;57879.53;579016.78890669;579016.78890669;b;711987;False
16i4NkCQma4pMfuBQ7CYG68peL7W6UwtNE;;278.15091305;300.0;9195141.0;2022-05-30 07:19:31 UTC;2022-05-30 07:19:31 UTC;2;2022-05-30 08:00:00 UTC;1653894000;;30650.47;36068.47273706;36068.47273706;b;738540;False
17248iJcHdqZDp3ZsZYkfydEMToFh5isEL;;184.70814213;300.0;12592839.0;2022-02-17 14:56:43 UTC;2022-02-17 14:56:43 UTC;2;2022-02-17 15:00:00 UTC;1645106400;;41976.13;-180975.9351357;-180975.9351357;b;723770;False
178RqNKM3nrtEmzFfYb6VknJ1AB5quZ2LD;;185.29646049;300.0;11483673.0;2022-02-25 08:43:24 UTC;2022-02-25 08:43:24 UTC;2;2022-02-25 09:00:00 UTC;1645776000;;38278.91;-7924.86754475;-7924.86754475;b;724850;False
17AHNQAmSBhjq7AZHsGq6Yw1tS5SiJzvTW;;300.0;300.0;15232389.0;2021-12-25 13:46:58 UTC;2021-12-25 13:46:58 UTC;1;2021-12-25 14:00:00 UTC;1640437200;;50774.63;0.0;0.0;b;715703;False
