address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
12WRyPDaD17MMaL24XmApanfEYpoNtjiqb;;14.86;180.60998656;3651706.35966014;2022-11-03 21:12:34 UTC;2022-11-03 21:12:34 UTC;7;2022-11-03 22:00:00 UTC;1667509200;;20218.74;-1878602.06017171;-2346638.49269142;b;761611;False
12ZrFWXPv16uXgbjkCLCq8C8FBJDmBRovn;;167.03826159;300.0;11721294.0;2022-03-15 16:53:23 UTC;2022-03-15 16:53:23 UTC;2;2022-03-15 17:00:00 UTC;1647360000;;39070.98;76500.86581158;76500.86581158;b;727468;False
12d1e4x5oprNf7au7BrTryx5D5mGCrXLY5;;5.46e-06;10000.30971431;430054318.98515874;2024-02-02 08:49:22 UTC;2024-02-02 08:49:22 UTC;4;2024-02-02 09:00:00 UTC;1706860800;;43004.1;-1040832.23449713;165448223.8283239;d;828532;False
12d2B1nPsGhHiMeJf8dmL5fJGa5HFMFvse;;199.60979091;300.0;7826640.0;2023-08-20 14:29:01 UTC;2023-08-20 14:29:01 UTC;3;2023-08-20 15:00:00 UTC;1692540000;;26088.8;-279832.68832792;-314470.54813996;b;804073;False
12gQT7AeqUjLJkgp3CMJnkTZo7bsLTmayu;;473.16;1673.1601;71568302.260233;2023-12-20 05:39:12 UTC;2023-12-20 05:39:12 UTC;5;2023-12-20 06:00:00 UTC;1703048400;;42774.33;19069129.589094;18990097.58073;c;822050;False
12nS6AsCpgavvXeGNM98A4eANKre6JHGQS;wallet: 82283034;-209.99972051;849.99992225;44046630.47102843;2024-02-16 08:02:01 UTC;2024-02-16 08:02:01 UTC;693;2024-02-16 09:00:00 UTC;1708070400;;51819.57;2136662.47990419;34204430.97072728;b;830690;False
12q2uc3UhyjMWTBhEQhJNjRiYfHYsTjRri;;-31.99987659;189.96496253;5032593.57963652;2023-08-29 13:08:16 UTC;2023-08-29 13:08:16 UTC;121;2023-08-29 14:00:00 UTC;1693314000;;26492.22;123871.9177677;17784807.84191046;b;805312;False
12tiyTbCzk9Uymyta29NKbxAbBN7kcgxEZ;;931.001;931.001;43053498.85431;2024-01-12 05:14:57 UTC;2024-01-12 05:26:17 UTC;2;2024-01-12 06:00:00 UTC;1705035600;;46244.31;0.0;0.0;b;825405;False
12zXTwF2tkZ2NNm3eCk88yn9i9o6z7SGY6;;225.59808091;300.0;6964296.0;2022-07-21 01:08:29 UTC;2022-07-21 01:08:29 UTC;2;2022-07-21 02:00:00 UTC;1658365200;;23214.32;-5955.87362315;-5955.87362315;b;745821;False
13EhYFE8oY6h37BJrE1undCTNfwyWjygdM;;-6e-06;1500.0;56652975.0;2023-11-29 14:34:34 UTC;2023-11-29 14:34:34 UTC;8;2023-11-29 15:00:00 UTC;1701266400;;37768.65;11891925.0475677;25571315.69513182;c;819005;False
